Column 0;Column 1;Column 2;Column 3;Column 4;Column 5;Column 6;Column 7;Column 8;versione
312018;4AT;312018;TPT;L143;1;1; - ;;117
312018;4CI;312018;TCI;L341;1;2; - ;;117
312018;3AT;312018;TPT;A205;1;4; - ;;117
312018;1PE;312018;SUPPLENZA PROVV. D;A314;1;5; - ;;117
312018;5AT;312018;TPT;L143;1;6; - ;;117
312018;4AT;312018;TPT;L143;2;1; - ;;117
312018;;312018;D1;;2;2; - ;;117
312018;3AT;312018;TPT;L143;2;3; - ;;117
312018;5AT;312018;GPT;L143;2;5; - ;;117
312018;5AT;312018;TPT;L143;2;6; - ;;117
312018;4AT;312018;TPT;A061;3;5; - ;;117
312018;4CI;312018;TCI;A261;3;6; - ;;117
312018;5AT;312018;TPT;L143;4;3; - ;;117
312018;5AT;312018;TPT;A062;4;4; - ;;117
312018;4CI;312018;TCI;L341;4;5; - ;;117
312018;3AT;312018;TPT;A205;4;6; - ;;117
312018;5AT;312018;GPT;A062;5;5; - ;;117
312018;5AT;312018;GPT;L143;5;6; - ;;117
311968;5BL;311968;LGL;L244;1;3; - ;;117
311968;3BL;311968;LGL;L244;1;5; - ;;117
311968;5AL;311968;LGL;L244;1;6; - ;;117
311968;4BL;311968;LGL;L244;2;2; - ;;117
311968;3AL;311968;LGL;L244;2;3; - ;;117
311968;5AL;311968;LGL;L244;2;4; - ;;117
311968;3BL;311968;LGL;L244;2;5; - ;;117
311968;5BL;311968;LGL;L244;2;6; - ;;117
311968;4AL;311968;LGL;L244;3;1; - ;;117
311968;4AL;311968;LGL;L244;3;2; - ;;117
311968;5AL;311968;LGL;L244;3;4; - ;;117
311968;3AL;311968;LGL;L244;3;5; - ;;117
311968;5BL;311968;LGL;L244;3;6; - ;;117
311968;4BL;311968;LGL;L244;4;3; - ;;117
311968;5BL;311968;LGL;L244;4;4; - ;;117
311968;5AL;311968;LGL;L244;4;5; - ;;117
311968;4BL;311968;LGL;L244;5;1; - ;;117
311968;4AL;311968;LGL;L244;5;2; - ;;117
2960293;4AI;2960293;SMS;PALESTRA;1;1; - ;;117
2960293;5AI;2960293;SMS;PALESTRA;1;2; - ;;117
2960293;1SE;2960293;SUPPLENZA PROVV. D;A321;1;3; - ;;117
2960293;4AT;2960293;SMS;PALESTRA;1;5; - ;;117
2960293;1EI;2960293;SMS;PALESTRA;1;6; - ;;117
2960293;1EI;2960293;SMS;PALESTRA;2;1; - ;;117
2960293;5BI;2960293;SMS;PALESTRA;2;2; - ;;117
2960293;4BI;2960293;SMS;PALESTRA;2;3; - ;;117
2960293;4AI;2960293;SMS;PALESTRA;3;4; - ;;117
2960293;5BI;2960293;SMS;PALESTRA;3;5; - ;;117
2960293;5BI;2960293;SMS;PALESTRA;3;6; - ;;117
2960293;4AT;2960293;SMS;PALESTRA;4;1; - ;;117
2960293;4BI;2960293;SMS;PALESTRA;4;2; - ;;117
2960293;5AI;2960293;SMS;PALESTRA;4;4; - ;;117
2960293;;2960293;D1;;4;5; - ;;117
2960293;3BI;2960293;SMS;PALESTRA;4;6; - ;;117
2960293;3AI;2960293;SMS;PALESTRA;5;1; - ;;117
2960293;3BI;2960293;SMS;PALESTRA;5;2; - ;;117
5644848;1LE;5644848;FIS;A210;1;2; - ;;117
5644848;2LE;5644848;FIS;A212;1;3; - ;;117
5644848;2ME;5644848;FIS;A312;1;4; - ;;117
5644848;1ME;5644848;FIS;A309;1;5; - ;;117
5644848;1ME;5644848;FIS;A309;2;3; - ;;117
5644848;1LE;5644848;FIS;A210;2;4; - ;;117
5644848;2LE;5644848;FIS;L006;2;5; - ;;117
5644848;2ME;5644848;FIS;A312;2;6; - ;;117
5644848;2LE;5644848;FIS;A212;4;4; - ;;117
5644848;1LE;5644848;FIS;L008;4;5; - ;;117
5644848;2ME;5644848;FIS;L006;4;6; - ;;117
5644848;1ME;5644848;FIS;L008;5;6; - ;;117
5742872;1IL;5742872;TRG;A307;1;1; - ;;117
5742872;1IL;5742872;TRG;L044;1;2; - ;;117
5742872;1IL;5742872;TRG;L044;1;2; - ;;117
5742872;2HL;5742872;TRG;L043;1;4; - ;;117
5742872;1HL;5742872;TRG;A207;1;6; - ;;117
5742872;2LE;5742872;TRG;L043;2;1; - ;;117
5742872;2LE;5742872;TRG;L043;2;1; - ;;117
5742872;1IL;5742872;TRG;A307;2;2; - ;;117
5742872;2HL;5742872;TRG;A209;2;3; - ;;117
